Link Text,URL
Volkswagen Group - Deliveries to customers - July - September 2024 - 2024-10-11,https://uploads.vw-mms.de/system/production/files/cws/040/668/file/151d368085a7d93bdc93358b5dc3bc7714ea72d0/20241011_Deliveries_Tables_icl_BEV.pdf?1728635690
Volkswagen Group - Deliveries to customers - April - June 2024 - 2024-07-10,https://uploads.vw-mms.de/system/production/files/cws/040/516/file/36637a7dd975dc8bcf20d13da713c40be6d6f5f7/20240710_Deliveries_Tables_incl_BEV.pdf?1720602925
Volkswagen Group - Deliveries to customers - March 2024 - 2024-04-10,https://uploads.vw-mms.de/system/production/files/cws/040/192/file/f73b1e4c013a889f88b210ad7a9a816789b31f7c/20240409_Deliveries_Tables_incl_BEV.pdf?1712732059
Volkswagen Group - Deliveries to customers - February 2024 - 2024-03-15,https://uploads.vw-mms.de/system/production/files/cws/040/131/file/a3f1183b854b4497943db097f40b20b9d6ea3a95/20240315_Deliveries_Tables.pdf?1710494655
Volkswagen Group - Deliveries to customers - January 2024 - 2024-02-16,https://uploads.vw-mms.de/system/production/files/cws/039/994/file/ee363e0b9d779723fb7a4a855cf67cac68184704/20240215_Deliveries_Tables.pdf?1708071907
Volkswagen Group - Deliveries to customers - December 2023 - 2024-01-12,https://uploads.vw-mms.de/system/production/files/cws/039/908/file/5295283008465dfc3a4f950412999d935db88e51/20240112_Deliveries_Tables_incl_BEV.pdf?1705049819
Volkswagen Group - Deliveries to customers - November 2023 - 2023-12-15,https://uploads.vw-mms.de/system/production/files/cws/039/867/file/fd950b2501f46e75aee2c6f107ce38a437d2944c/20231214_Deliveries_Tables.pdf?1702629528
Volkswagen Group - Deliveries to customers - October 2023 - 2023-11-17,https://uploads.vw-mms.de/system/production/files/cws/039/786/file/23d4ec9712059a4adfa8b1b4bd743d8716f4492a/20231116_Deliveries_Tables.pdf?1700211800
Volkswagen Group - Deliveries to customers - September 2023 - 2023-10-13,https://uploads.vw-mms.de/system/production/files/cws/039/684/file/1d4d20731d56c426ec20d442bb0ab5efc318659d/20231013_Deliveries_Tables.pdf?1697189695
Volkswagen Group - Deliveries to customers - August 2023 - 2023-09-15,https://uploads.vw-mms.de/system/production/files/cws/039/678/file/298d38035b840af078f552ad15040a8ddc66fd60/20230914_Deliveries_Tables.pdf?1697187575
Volkswagen Group - Deliveries to customers - July 2023 - 2023-08-18,https://uploads.vw-mms.de/system/production/files/cws/039/456/file/0c8a7ef70567fb85cb1d9c03978334d1975c0037/20230817_Deliveries_Tables.pdf?1692349181
Volkswagen Group - Deliveries to customers - June 2023 - 2023-07-14,https://uploads.vw-mms.de/system/production/files/cws/039/407/file/57c54130ed76dc7831f5b473a2497cf55cb38220/20230713_Deliveries_Tables_incl_BEV.pdf?1689325240
Volkswagen Group - Deliveries to customers - May 2023 - 2023-06-16,https://uploads.vw-mms.de/system/production/files/cws/039/180/file/862873b923bea861c1a59ecf8060c3a708079e45/20230615_Deliveries_Tables.pdf?1686906089
Volkswagen Group - Deliveries to customers - April 2023 - 2023-05-12,https://uploads.vw-mms.de/system/production/files/cws/037/062/file/60ff904d92e422d4d28b024adc2bb418649035cf/20230511_Deliveries_Tables.pdf?1685006761
Volkswagen Group - Deliveries to customers - March 2023 - 2023-04-21,https://uploads.vw-mms.de/system/production/files/cws/037/064/file/7a3a420f782bdb86f62cabec06a9edce819b927b/20230421_Deliveries_Tables.pdf?1685006761
Volkswagen Group - Deliveries to customers - February 2023 - 2023-03-17,https://uploads.vw-mms.de/system/production/files/cws/037/066/file/c966252a3bfa6a879e2942cf8850f2d774a0ce2c/20230316_Deliveries_Tables.pdf?1685006761
Volkswagen Group - Deliveries to customers - January 2023 - 2023-02-17,https://uploads.vw-mms.de/system/production/files/cws/037/068/file/99c2af70bf7ba98ecc01857e1c0d94f041f24361/20230216_Deliveries_Tables.pdf?1685006762
